Unnamed: 0	tweet_id	text	science_related	scientific_claim	scientific_reference	scientific_context	text_lemmatized
0	316669998137483264	knees are a bit sore i guess thats a sign that my recent treadmilling is working	0	0.0	0.0	0.0	knee be a bit sore i guess thats a sign that my recent treadmilling be work
1	319090866545385472	mcdonalds breakfast stop then the gym 🏀💪	0	0.0	0.0	0.0	mcdonalds breakfast stop then the gym 🏀💪
2	322030931022065664	can any gynecologist with cancer experience explain the dangers of transvaginal douching with fluoride or other toxins such as dioxin? 	1	1.0	0.0	0.0	can any gynecologist with cancer experience explain the danger of transvaginal douching with fluoride or other toxin such a dioxin ?
3	322694830620807168	couch-lock highs lead to sleeping in the couch gotta stop doing this shit	1	1.0	0.0	0.0	couch-lock high lead to sleep in the couch get ta stop do this shit
4	328524426658328576	does daily routine help prevent problems with bipolar disorder 	1	1.0	0.0	0.0	do daily routine help prevent problem with bipolar disorder
6	331396203700944896	the impact of infertility on you and your relationship 	0	0.0	0.0	0.0	the impact of infertility on you and your relationship
8	333266791960809472	traffic jam in brains neurons could be cause of statin-related cognitive decline 	1	1.0	1.0	1.0	traffic jam in brain neuron could be cause of statin-related cognitive decline
9	334282732085587968	can playing more games improve lives and save the world? by chris_pelle via postarcade  	1	1.0	0.0	0.0	can play more game improve life and save the world ? by chris_pelle via postarcade
10	334350038090276864	the effect of climate change on iceberg production by greenland glaciers 	1	0.0	1.0	1.0	the effect of climate change on iceberg production by greenland glacier
11	335542235452014594	hankazaria thesimpsons oh loneliness and cheeseburgers are a dangerous mix	0	0.0	0.0	0.0	hankazaria thesimpsons oh loneliness and cheeseburger be a dangerous mix
12	336431788618551297	 honestly think liverpool are a left back and a right wing away from cl fabio coentrao and james rodriguez?	0	0.0	0.0	0.0	honestly think liverpool be a left back and a right wing away from cl fabio coentrao and james rodriguez ?
13	339453990179844097	bpkelly if that damn book lady decides to stop being a fuckin retard ill be out of here in  days	0	0.0	0.0	0.0	bpkelly if that damn book lady decide to stop be a fuckin retard ill be out of here in day
14	339558700970815488	science sucks	0	0.0	0.0	0.0	science suck
15	342204279160987648	 pay attention to classification essays format	0	0.0	0.0	0.0	pay attention to classification essay format
16	344256820552011777	repcohen senalexander senbobcorker pls support  funding to help fight  pancan pancanmemphis 	1	0.0	0.0	1.0	repcohen senalexander senbobcorker pls support funding to help fight pancan pancanmemphis
17	344906283360591873	poverty is the greatest cause behind child labour 	1	1.0	0.0	0.0	poverty be the great cause behind child labour
18	345226308780974081	thefactsbook drinking chocolate milk has been proven to help relieve muscle soreness after a workoutdietervoigtsa dink jy dis waar?	1	1.0	0.0	0.0	thefactsbook drink chocolate milk have be prove to help relieve muscle soreness after a workoutdietervoigtsa dink jy dis waar ?
