Unnamed: 0,tweet_id,text,science_related,scientific_claim,scientific_reference,scientific_context
2,322030931022065664,Can any Gynecologist with Cancer Experience explain the dangers of Transvaginal Douching with Fluoride or other toxins such as Dioxin? #PDX,1,1.0,0.0,0.0
3,322694830620807168,Couch-lock highs lead to sleeping in the couch. Gotta stop doing this shit.,1,1.0,0.0,0.0
4,328524426658328576,Does daily routine help prevent problems with bipolar disorder http://t.co/XGUfUDoLJB,1,1.0,0.0,0.0
8,333266791960809472,“Traffic Jam” In Brain’s Neurons Could Be Cause Of Statin-Related Cognitive Decline http://t.co/kQ3XPdePKX,1,1.0,1.0,1.0
9,334282732085587968,Can playing more games improve lives and save the world? by @chris_pelle via @PostArcade http://t.co/uEtVu099Ad #CDA30,1,1.0,0.0,0.0
10,334350038090276864,The effect of climate change on iceberg production by Greenland glaciers http://t.co/CtnPhcmD7c,1,0.0,1.0,1.0
16,344256820552011777,@RepCohen @SenAlexander @SenBobCorker pls support #NIH funding to help fight #pancreaticcancer @PanCAN @PanCANMemphis #ifight4MyDad,1,0.0,0.0,1.0
17,344906283360591873,Poverty is the greatest cause behind child labour. #RisePakistan,1,1.0,0.0,0.0
18,345226308780974081,"""@TheFactsBook: Drinking chocolate milk has been proven to help relieve muscle soreness after a workout.""@dietervoigtsa dink jy dis waar?",1,1.0,0.0,0.0
27,354971560186101763,"A wise Physician said, “The best medicine for Humans is LOVE.” Some1 asked, “If it doesn’t work?” He smiled&answered, “ Increase the dose.”",1,1.0,0.0,0.0
29,357516810666524675,When we think of unhealthy living we generally think of diet and exercise. Diet and exercise are an intricate... http://t.co/bGnam9Thx1,1,1.0,0.0,0.0
33,362177441596321792,Caution! 3D Printers Could Cause Health Problems. Find out more here: http://t.co/BRAwvRgq28,1,1.0,0.0,0.0
35,363172565365170176,"MDLinx Blog: MDLinx Blog: Neuropsychological findings in pediatric maltreatment: relationship of PTSD,... http://t.co/sS24IDHCoD",1,0.0,1.0,1.0
40,369662835972141056,65% of cats born with blue eyes are deaf.,1,1.0,0.0,0.0
41,371197661439078400,@najdi_outsider @mayami2012 @mol7daa @ahlamm4 @bibi_dd 1. The study indicate that the brain atrophy is caused by stress not by religion,1,1.0,0.0,1.0
43,375481363668795392,Over thinking causes the mind to create negative scenarios and replay painful memories.,1,1.0,0.0,0.0
44,375599373771898880,Sleep 'boosts brain cell numbers' http://t.co/5d9b6G1vob,1,1.0,1.0,1.0
47,378087292306337792,"Versatile microRNAs Choke Off Cancer Blood Supply, Suppress Metastasis - Science Daily (press release) http://t.co/EFAfQCE57H",1,1.0,1.0,1.0
50,379218265500684288,"“@UberFacts: During Medieval times, red hair was associated with intense sexual desire and moral degradation.” @EElise13",1,1.0,0.0,0.0
52,380341864903090176,"@billmaher What can ""we"" do Bill? All the gun laws in the fucking world won't stop mentally ill killers from killing people...",1,1.0,0.0,0.0
61,396940972694568960,Modeling precision treatment of breast cancer - looks great ! http://t.co/4XzfGlwAWn,1,0.0,1.0,1.0
62,397206548943867905,@khushsundar Do u think legalising prostitution in all states will decrease sexual abusing. Pls give me s reply mam.,1,1.0,0.0,0.0
66,402844901475618816,"#Multiple #Births Cost Significantly More Than Single Births, Study Shows http://t.co/A0alATsStW",1,1.0,1.0,1.0
68,403454747287359488,"""The existence of absolute poverty today points to the indifference of many in the rich world"" http://t.co/ktsjh6vn1Y via @prospect_uk",1,1.0,0.0,0.0
74,411247736525434880,"Europa, a moon of Jupiter has a gigantic ocean beneath its icy surface which cracks and shoots water jets into space. http://t.co/rcLoSrZE0C",1,1.0,1.0,1.0
78,413527115230117888,A lucky find of a toe fossil unlocks a genetic encyclopedia for neanderthals http://t.co/gfjo79RuSv,1,1.0,1.0,1.0
84,419047430718373888,.@GreenJournal study show this infection can increase risk of strokes and heart attacks http://t.co/OnPKAwpomh,1,1.0,1.0,1.0
93,430698608137351168,"Law leads to guilt,guilt leads to struggle,struggle leads to failure,failure leads to more guilt,guilt leads to more sin + hopelessness!",1,1.0,0.0,0.0
