	tweet_id	text	science_related	scientific_claim	scientific_reference	scientific_context
0	3,16669998137483E+017	Knees are a bit sore. i guess that's a sign that my recent treadmilling is working	0	0.0	0.0	0.0
1	3,19090866545386E+017	McDonald's breakfast stop then the gym 🏀💪	0	0.0	0.0	0.0
2	3,22030931022066E+017	Can any Gynecologist with Cancer Experience explain the dangers of Transvaginal Douching with Fluoride or other toxins such as Dioxin? #PDX	1	1.0	0.0	0.0
3	3,22694830620807E+017	Couch-lock highs lead to sleeping in the couch. Gotta stop doing this shit.	1	1.0	0.0	0.0
4	3,28524426658329E+017	Does daily routine help prevent problems with bipolar disorder http://t.co/XGUfUDoLJB	1	1.0	0.0	0.0
6	3,31396203700945E+017	The Impact of Infertility on You and Your Relationship http://t.co/7pF7Z0wH8f	0	0.0	0.0	0.0
8	3,3326679196081E+017	“Traffic Jam” In Brain’s Neurons Could Be Cause Of Statin-Related Cognitive Decline http://t.co/kQ3XPdePKX	1	1.0	1.0	1.0
9	3,34282732085588E+017	Can playing more games improve lives and save the world? by @chris_pelle via @PostArcade http://t.co/uEtVu099Ad #CDA30	1	1.0	0.0	0.0
10	3,34350038090277E+017	The effect of climate change on iceberg production by Greenland glaciers http://t.co/CtnPhcmD7c	1	0.0	1.0	1.0
11	3,35542235452015E+017	@HankAzaria @TheSimpsons oh loneliness and cheeseburgers are a dangerous mix	0	0.0	0.0	0.0
12	3,36431788618551E+017	#bbcsportsday Honestly think Liverpool are a left back and a right wing away from CL. Fabio Coentrao and James Rodriguez?	0	0.0	0.0	0.0
13	3,39453990179844E+017	@bpkelly12 if that damn book lady decides to stop being a fuckin retard ill be out of here in 2 days	0	0.0	0.0	0.0
14	3,39558700970816E+017	Science sucks.	0	0.0	0.0	0.0
15	3,42204279160988E+017	http://t.co/eJlnUg0Gog Pay attention to classification essays format	0	0.0	0.0	0.0
16	3,44256820552012E+017	@RepCohen @SenAlexander @SenBobCorker pls support #NIH funding to help fight #pancreaticcancer @PanCAN @PanCANMemphis #ifight4MyDad	1	0.0	0.0	1.0
17	3,44906283360592E+017	Poverty is the greatest cause behind child labour. #RisePakistan	1	1.0	0.0	0.0
18	3,45226308780974E+017	"""@TheFactsBook: Drinking chocolate milk has been proven to help relieve muscle soreness after a workout.""@dietervoigtsa dink jy dis waar?"	1	1.0	0.0	0.0
19	3,46130801726988E+017	About to just go to bed maybe cry a little and maybe stop breathing okay? Okay.	0	0.0	0.0	0.0
20	3,48110995861955E+017	"""@GreatestNotes: Stop searching for the right person. Just look for a good catcher.The one who could catch your heart when it starts falling"	0	0.0	0.0	0.0
21	3,49083884803199E+017	"HM Revenue defines tax evasion as ""serious"" when sum involved is higher than £50,000 worthy of prosecution. http://t.co/BN3MEqJWvV"	0	0.0	0.0	0.0
23	3,50116212899971E+017	ThE Lazy Marketer Increase riches. How to be a leader. How to be recognized. Get protected. Chino Hills California	0	0.0	0.0	0.0
24	3,50649661289275E+017	God dammit ... Poor decisions lead to negative consequences. Won't happen again	0	0.0	0.0	0.0
25	3,52112687028769E+017	New post outlining SOLO mapping activity for Science http://t.co/uLArqkGCT8 Perhaps useful for other subjects too.	0	0.0	0.0	0.0
