Unnamed: 0	tweet_id	text	science_related	scientific_claim	scientific_reference	scientific_context	text_lemmatized
0	316669998137483264	knees bit sore guess that's sign recent treadmilling working	0	0.0	0.0	0.0	knee bit sore guess that be sign recent tread mill working
1	319090866545385472	mcdonald's breakfast stop gym basketball flexed biceps	0	0.0	0.0	0.0	McDonald be breakfast stop gym basketball flexed bicep
2	322030931022065664	gynecologist cancer experience explain dangers transvaginal douching fluoride toxins dioxin? #pdx	1	1.0	0.0	0.0	gynecologist cancer experience explain danger trans vaginal douching fluoride toxin dioxin ? # pd
3	322694830620807168	couch lock highs lead sleeping couch gotta stop shit	1	1.0	0.0	0.0	couch lock high lead sleep couch get to stop shit
4	328524426658328576	daily routine help prevent problems bipolar disorder	1	1.0	0.0	0.0	daily routine help prevent problem bipolar disorder
6	331396203700944896	impact infertility relationship	0	0.0	0.0	0.0	impact infertility relationship
8	333266791960809472	traffic jam brain neurons could cause statin related cognitive decline	1	1.0	1.0	1.0	traffic jam brain neuron could cause state related cognitive decline
9	334282732085587968	playing games improve lives save world? chris pelle via postarcade #cda	1	1.0	0.0	0.0	playing game improve life save world ? Chris pellet via post arcade # CAD
10	334350038090276864	effect climate change iceberg production greenland glaciers	1	0.0	1.0	1.0	effect climate change iceberg production Greenland glacier
11	335542235452014594	hankazaria thesimpsons oh loneliness cheeseburgers dangerous mix	0	0.0	0.0	0.0	hangar Simpsons oh loneliness cheeseburger dangerous mix
12	336431788618551297	#bbcsportsday honestly think liverpool left back right wing away cl fabio coentrao james rodriguez?	0	0.0	0.0	0.0	# bicuspid honestly think Liverpool leave back right wing away cl FBI contra James Rodriguez ?
13	339453990179844097	bpkelly damn book lady decides stop fuckin retard ill days	0	0.0	0.0	0.0	Berkeley damn book lady decide stop fuck retard ill day
14	339558700970815488	science sucks	0	0.0	0.0	0.0	science suck
15	342204279160987648	pay attention classification essays format	0	0.0	0.0	0.0	pay attention classification essay format
16	344256820552011777	repcohen senalexander senbobcorker pls support #nih funding help fight #pancreaticcancer pancan pancanmemphis #ifight mydad	1	0.0	0.0	1.0	Cohen Alexander songbook pal support # NIH funding help fight # pancreatic cancer cancan penknive # fight my dad
17	344906283360591873	poverty greatest cause behind child labour #risepakistan	1	1.0	0.0	0.0	poverty great because behind child labor # Pakistan
18	345226308780974081	thefactsbook drinking chocolate milk proven help relieve muscle soreness workout dietervoigtsa dink jy dis waar?	1	1.0	0.0	0.0	Gettysburg drinking chocolate milk prove help relieve muscle soreness workout detect dink Jay dis war ?
19	346130801726988290	go bed maybe cry little maybe stop breathing okay? okay	0	0.0	0.0	0.0	go bed maybe cry little maybe stop breathe okay ? okay
20	348110995861954560	greatestnotes stop searching right person look good catcher one could catch heart starts falling	0	0.0	0.0	0.0	great note stop search right person look good catcher one could catch heart start fall
21	349083884803198976	hm revenue defines tax evasion serious sum involved higher worthy prosecution	0	0.0	0.0	0.0	hm revenue define tax evasion serious sum involve high worthy prosecution
23	350116212899971073	lazy marketer increase riches leader recognized get protected chino hills california	0	0.0	0.0	0.0	lazy marketer increase rich leader recognize get protect chino hill California
24	350649661289275393	god dammit poor decisions lead negative consequences happen	0	0.0	0.0	0.0	god dammit poor decision lead negative consequence happen
25	352112687028768770	new post outlining solo mapping activity science perhaps useful subjects	0	0.0	0.0	0.0	new post outline solo mapping activity science perhaps useful subject
26	354781851375763456	girls asses big enough cause pile #bse #toolive presents #xxxplicit #july dixie hwy hollywood fl time	0	0.0	0.0	0.0	girl asse big enough because pile # bose # to olive present # xxxplicit # July Dixie hwy Hollywood fl time
27	354971560186101763	wise physician said best medicine humans love asked work? smiled answered increase dose	1	1.0	0.0	0.0	wise physician say good medicine human love ask work ? smile answer increase dose
28	357332201190334464	zimmerman win lotto ppl please stop spreading krazy rumors	0	0.0	0.0	0.0	zimmerman win lotto Pol please stop spread crazy rumor
29	357516810666524675	think unhealthy living generally think diet exercise diet exercise intricate	1	1.0	0.0	0.0	think unhealthy living generally think diet exercise diet exercise intricate
30	358829145460969473	#breaking somalia al shabab ambushes kenyan forces lower #juba region	0	0.0	0.0	0.0	# break Somalia AL shabby ambush kenyan force low # Jubal region
31	359184948294467584	dude people stop retweeting fake frank ocean account	0	0.0	0.0	0.0	dude people stop retweete fake frank ocean account
32	361218917303193600	teach children treat animals responsibly teach captivity! join us #freeallcetacea via freeallcetacea	0	0.0	0.0	0.0	teach child treat animal responsibly teach captivity ! join we # freeloader via freeloader
33	362177441596321792	caution! printers could cause health problems find	1	1.0	0.0	0.0	caution ! printer could cause health problem find
